refdate,bdi_code,symbol,specification_code,isin,strike_price,close,best_bid,best_ask,open,maturity_date,volume,traded_contracts,trade_quantity,distribution_id
2026-07-21,78,BRAVI202,ON      NM,BRBRAVACNOR3,20.13,0.81,0.8,1.05,1.15,2026-09-18,102488.0,106000,583,103
2026-07-21,82,BRAVT145,ON      NM,BRBRAVACNOR3,14.38,0.1,0.03,0.15,0.08,2026-08-21,6656.0,74800,22,104
2026-07-21,82,BRAVT372,ON      NM,BRBRAVACNOR3,37.13,17.35,16.8,0.0,17.34,2026-08-21,6939.0,400,3,103
2026-07-21,78,BRAVI197,ON      NM,BRBRAVACNOR3,19.63,1.05,1.0,0.0,1.07,2026-09-18,42606.0,40100,13,104
2026-07-21,78,BRAVI220,ON      NM,BRBRAVACNOR3,21.88,0.46,0.39,0.47,0.45,2026-09-18,5925.0,13700,26,104
2026-07-21,78,BRAVI22,ON      NM,BRBRAVACNOR3,22.13,0.36,0.1,0.4,0.4,2026-09-18,472.0,1200,2,104
2026-07-21,78,BRAVI225,ON      NM,BRBRAVACNOR3,22.38,0.3,0.0,0.0,0.31,2026-09-18,537.0,1600,10,104
2026-07-21,78,BRAVI231,ON      NM,BRBRAVACNOR3,23.13,0.21,0.0,0.38,0.2,2026-09-18,441.0,2200,4,104
2026-07-21,78,BRAVH115,ON      NM,BRBRAVACNOR3,11.38,8.75,0.0,0.0,8.74,2026-08-21,92469.0,10500,105,103
2026-07-21,82,BRAVX13,ON      NM,BRBRAVACNOR3,12.88,0.11,0.0,0.0,0.11,2026-12-18,11.0,100,1,103
2026-07-21,82,BRAVT120,ON      NM,BRBRAVACNOR3,11.88,0.04,0.03,0.05,0.06,2026-08-21,7653.0,166000,777,103
2026-07-21,82,BRAVT180,ON      NM,BRBRAVACNOR3,17.88,0.5,0.45,0.64,0.44,2026-08-21,132676.0,270800,161,100
2026-07-21,82,BRAVU115,ON      NM,BRBRAVACNOR3,11.38,0.07,0.0,0.0,0.09,2026-09-18,2256.0,30500,303,104
2026-07-21,82,BRAVU110,ON      NM,BRBRAVACNOR3,10.88,0.08,0.0,0.0,0.09,2026-09-18,977.0,12200,103,104
2026-07-21,82,BRAVU190,ON      NM,BRBRAVACNOR3,18.88,1.21,0.7,0.0,1.06,2026-09-18,2828.0,2600,5,104
2026-07-21,82,BRAVU192,ON      NM,BRBRAVACNOR3,19.13,1.22,0.0,0.0,1.17,2026-09-18,971.0,800,2,104
2026-07-21,82,BRAVU103,ON      NM,BRBRAVACNOR3,10.38,0.01,0.0,0.0,0.09,2026-09-18,10.0,200,2,105
2026-07-21,82,BRAVT213,ON      NM,BRBRAVACNOR3,21.38,2.41,0.0,0.0,2.35,2026-08-21,91730.0,38400,48,105
2026-07-21,82,BRAVT193,ON      NM,BRBRAVACNOR3,19.38,1.07,0.53,0.0,0.93,2026-08-21,62695.0,60200,50,105
2026-07-21,78,BRAVI255,ON      NM,BRBRAVACNOR3,25.38,0.08,0.07,0.09,0.08,2026-09-18,40.0,500,5,104
