exdate,amount
2005-07-01,0.250663
2006-01-02,0.259
2006-11-01,0.50075
2007-01-02,0.225
2007-04-03,0.1803
2007-08-20,0.2517
2007-10-08,0.2565
2008-01-14,0.1553
2008-04-07,0.1026
2009-04-09,0.3516
2009-07-06,0.3
2009-10-01,0.2
2009-12-21,0.2
2010-04-23,0.2533
2010-05-24,0.2
2010-08-02,0.2
2010-11-03,0.14
2010-12-22,0.2
2011-03-22,0.17342
2011-04-29,0.1265
2011-05-12,0.2136
2011-08-03,0.2073
2011-11-14,0.2
2012-01-03,0.1773
2012-03-20,0.1244
2012-05-14,0.2
2013-04-30,0.78
2014-04-03,0.99757
2018-05-22,0.05
2018-08-14,0.05
2018-11-22,0.1
2018-12-26,0.716563
2019-04-26,0.019494
2019-05-22,0.1
2019-08-13,0.2
2019-11-12,0.200925
2019-12-27,0.421942
2020-07-23,0.000461
2021-04-15,0.792834
2021-08-17,1.609911
2021-12-02,3.250487
2022-04-14,2.970249
2022-05-24,3.71549
2022-08-12,6.732003
2022-11-22,1.748708
2023-04-28,2.930163
2023-06-13,1.893576
2023-08-22,1.149304
2023-11-22,1.371248
2024-04-26,1.150024
2024-05-03,1.776022
2024-06-12,1.043242
2024-08-22,1.0532
2024-12-12,1.551743
2024-12-26,1.356891
2025-04-17,0.74813
2025-06-03,0.909166
2025-08-22,0.671924
2025-12-23,0.952128
2026-04-23,0.663103
2026-06-02,0.700973
